Model Id;Model Name;Class;Measure Values
370634;Canon EOS 5D Mark IV DSLR Camera Body {30.4MP};A;9
374291;Nikon D850 DSLR Camera Body {45.7MP};A;7
364983;Nikon D750 DSLR Camera Body {24MP};A;8
353050;Canon EOS 5D Mark III DSLR Camera Body {22.3MP};A;12
289245;Canon 70-200mm f/2.8 L IS II USM EF-Mount Lens {77};A;27
355976;Canon 24-70mm f/2.8 L II USM EF Mount Lens {82};A;20
376573;Sony Alpha a7 III Mirrorless Digital Camera Body, Black {24MP};A;12
355672;Ebay MISC;A;6
374812;Sony Alpha a7R III Mirrorless Digital Camera Body, Black {42.4MP};A;6
364535;Nikon D810 DSLR Camera Body {36MP};A;5
383926;Canon 100-400mm f/4.5-5.6 L IS II USM EF Mount Lens {77} with Canon Tripod Foot;A;16
381304;Sony Alpha a7R IV Mirrorless Digital Camera Body, Black {61MP};A;5
378377;Canon EOS R Mirrorless Digital Camera {4K30/30.3MP};A;5
296338;Nikon AF-S Nikkor 24-70mm F/2.8 G ED IF Aspherical AF Lens {77};A;21
369864;Nikon D500 DSLR Camera Body {20.9MP};A;5
246709;Nikon AF-S Nikkor 70-200mm F/2.8 G ED IF VR II AF Lens {77};A;27
212198;Canon 50mm f/1.2 L USM EF-Mount Lens {72};A;22
289243;Canon 24-105mm f/4 L IS USM Macro EF-Mount Lens {77};A;24
384011;Canon EOS R5 Mirrorless Digital Camera {4K120/45MP};A;6
212504;Canon 70-200mm f/2.8 L IS USM EF-Mount Lens {77};A;27
212456;Canon 24-70mm f/2.8 L USM Macro EF Mount Lens {77};A;21
365331;Canon EOS 7D Mark II (G) DSLR Camera Body {20MP};A;5
207771;Canon EOS 5D Mark II DSLR Camera Body {21.1MP};A;9
373670;Canon EOS 6D Mark II DSLR Camera Body {26.2MP};A;5
368352;Sony Alpha a7R II Mirrorless Digital Camera Body, Black {42MP};A;7
378306;Nikon Z6 Mirrorless Digital Camera Body {24.5MP};A;6
212156;Canon 100mm f/2.8 L Macro IS USM EF-Mount Lens {67};A;18
368214;Nikon AF-S Nikkor 200-500mm f/5.6 E ED IF VR AF Lens {95};A;14
370303;Sony FE 24-70mm f/2.8 GM AF E-Mount Lens, Black {82} SEL2470GM;A;19
370102;Canon EOS 1DX Mark II DSLR Camera Body {20.2MP};A;5
372909;Sony Alpha a9 Mirrorless Digital Camera Body, Black {24.2MP};A;4
287605;Nikon AF-S Nikkor 14-24mm F/2.8 G ED IF Aspherical AF Lens;A;12
356722;Canon EOS 6D (WG) DSLR Camera Body {20.2MP};A;10
367551;Canon EOS 5DSR DSLR Camera Body {50MP};A;6
212218;Canon 85mm f/1.2 L II USM EF-Mount Lens {72};A;23
212447;Canon 100-400mm f/4.5-5.6 L IS USM EF Mount Lens {77} with Tripod Foot;A;21
353091;Nikon D800 DSLR Camera Body {36.3MP};A;6
